grantee,privilege,admin_option
OLAP_DBA,CREATE ANY CUBE DIMENSION,NO
OLAP_DBA,UPDATE ANY TABLE,NO
OLAP_DBA,DROP ANY VIEW,NO
OLAP_DBA,DROP ANY CUBE BUILD PROCESS,NO
OLAP_DBA,SELECT ANY TABLE,NO
OLAP_DBA,CREATE JOB,NO
OLAP_DBA,CREATE ANY VIEW,NO
OLAP_DBA,CREATE ANY CUBE,NO
OLAP_DBA,INSERT ANY TABLE,NO
OLAP_DBA,CREATE ANY TABLE,NO
OLAP_DBA,CREATE SEQUENCE,NO
OLAP_DBA,UPDATE ANY CUBE,NO
OLAP_DBA,SELECT ANY CUBE DIMENSION,NO
OLAP_DBA,DELETE ANY TABLE,NO
OLAP_DBA,UPDATE ANY CUBE BUILD PROCESS,NO
OLAP_DBA,DROP ANY MEASURE FOLDER,NO
OLAP_DBA,DELETE ANY MEASURE FOLDER,NO
OLAP_DBA,UPDATE ANY CUBE DIMENSION,NO
OLAP_DBA,CREATE ANY CUBE BUILD PROCESS,NO
OLAP_DBA,DROP ANY TABLE,NO
OLAP_DBA,CREATE ANY MEASURE FOLDER,NO
OLAP_DBA,SELECT ANY CUBE,NO
OLAP_USER,CREATE VIEW,NO
OLAP_USER,CREATE TABLE,NO
OLAP_USER,CREATE MEASURE FOLDER,NO
OLAP_USER,CREATE CUBE BUILD PROCESS,NO
OLAP_USER,CREATE SEQUENCE,NO
OLAP_USER,CREATE JOB,NO
OLAP_USER,CREATE CUBE DIMENSION,NO
OLAP_USER,CREATE CUBE,NO
ORACLE_AI,SELECT ANY DICTIONARY,NO
ORACLE_AI,UNLIMITED TABLESPACE,NO
ORACLE_OCM,CREATE JOB,NO
ORACLE_OCM,SET CONTAINER,NO
ORDDATA,UNLIMITED TABLESPACE,NO
ORDSYS,UNLIMITED TABLESPACE,NO
PDB_DBA,CREATE SESSION,NO
PDB_DBA,CREATE PLUGGABLE DATABASE,NO
RECOVERY_CATALOG_OWNER,CREATE VIEW,NO
RECOVERY_CATALOG_OWNER,CREATE DATABASE LINK,NO
RECOVERY_CATALOG_OWNER,ALTER SESSION,NO
RECOVERY_CATALOG_OWNER,CREATE CLUSTER,NO
RECOVERY_CATALOG_OWNER,CREATE TRIGGER,NO
RECOVERY_CATALOG_OWNER,CREATE SEQUENCE,NO
RECOVERY_CATALOG_OWNER,CREATE SYNONYM,NO
RECOVERY_CATALOG_OWNER,CREATE TABLE,NO
RECOVERY_CATALOG_OWNER,CREATE SESSION,NO
RECOVERY_CATALOG_OWNER,CREATE PROCEDURE,NO
RECOVERY_CATALOG_OWNER,CREATE TYPE,NO
RECOVERY_CATALOG_OWNER_VPD,CREATE ANY CONTEXT,NO
RECOVERY_CATALOG_OWNER_VPD,ADMINISTER DATABASE TRIGGER,NO
RECOVERY_CATALOG_OWNER_VPD,DROP ANY CONTEXT,NO
RECOVERY_CATALOG_OWNER_VPD,CREATE ANY SYNONYM,NO
RECOVERY_CATALOG_OWNER_VPD,DROP ANY SYNONYM,NO
RESOURCE,CREATE TRIGGER,NO
RESOURCE,CREATE TABLE,NO
RESOURCE,CREATE PROCEDURE,NO
RESOURCE,CREATE TYPE,NO
RESOURCE,CREATE OPERATOR,NO
RESOURCE,CREATE SEQUENCE,NO
RESOURCE,CREATE CLUSTER,NO
RESOURCE,CREATE INDEXTYPE,NO
SCHEDULER_ADMIN,CREATE EXTERNAL JOB,YES
SCHEDULER_ADMIN,CREATE ANY CREDENTIAL,YES
SCHEDULER_ADMIN,EXECUTE ANY CLASS,YES
SCHEDULER_ADMIN,MANAGE SCHEDULER,YES
SCHEDULER_ADMIN,EXECUTE ANY PROGRAM,YES
SCHEDULER_ADMIN,CREATE JOB,YES
SCHEDULER_ADMIN,CREATE ANY JOB,YES
SCHEDULER_ADMIN,CREATE CREDENTIAL,YES
SYS,CREATE MINING MODEL,NO
SYS,SELECT ANY MINING MODEL,NO
SYS,COMMENT ANY MINING MODEL,NO
SYS,INSERT ANY CUBE DIMENSION,NO
SYS,ADMINISTER SQL MANAGEMENT OBJECT,NO
SYS,CREATE SQL TRANSLATION PROFILE,NO
SYS,CREATE PLUGGABLE DATABASE,NO
SYS,SET CONTAINER,NO
SYS,ALTER ANY CUBE BUILD PROCESS,NO
SYS,ALTER ANY ATTRIBUTE DIMENSION,NO
SYS,CREATE ANY HIERARCHY,NO
SYS,BACKUP ANY TABLE,NO
SYS,LOCK ANY TABLE,NO
SYS,REDEFINE ANY TABLE,NO
SYS,ALTER ANY CLUSTER,NO
SYS,ALTER ANY SEQUENCE,NO
SYS,CREATE ROLE,NO
SYS,GRANT ANY PRIVILEGE,NO
SYS,EXECUTE ANY LIBRARY,NO
SYS,QUERY REWRITE,NO
SYS,CREATE DIMENSION,NO
SYS,ALTER ANY DIMENSION,NO
SYS,DEQUEUE ANY QUEUE,YES
SYS,DROP ANY OUTLINE,NO
SYS,ADMINISTER RESOURCE MANAGER,NO
SYS,EXECUTE ANY EVALUATION CONTEXT,YES
SYS,DROP ANY RULE SET,YES
SYS,ALTER ANY SQL PROFILE,NO
SYS,ADMINISTER SQL TUNING SET,NO
SYS,DROP ANY EDITION,NO
SYS,DROP ANY MINING MODEL,NO
SYS,ALTER ANY MINING MODEL,NO
SYS,ALTER ANY CUBE DIMENSION,NO
SYS,CREATE ANY CUBE DIMENSION,NO
SYS,INSERT ANY MEASURE FOLDER,NO
SYS,UPDATE ANY CUBE DIMENSION,NO
SYS,ALTER ANY SQL TRANSLATION PROFILE,NO
SYS,DROP ANY SQL TRANSLATION PROFILE,NO
SYS,SELECT ANY MEASURE FOLDER,NO
SYS,READ ANY TABLE,YES
SYS,CREATE ANY ATTRIBUTE DIMENSION,NO
SYS,CREATE ANY ANALYTIC VIEW,NO
SYS,CREATE SESSION,NO
SYS,RESTRICTED SESSION,NO
SYS,BECOME USER,NO
SYS,CREATE ROLLBACK SEGMENT,NO
SYS,SELECT ANY TABLE,YES
SYS,UPDATE ANY TABLE,YES
SYS,CREATE ANY INDEX,NO
SYS,ALTER ANY INDEX,NO
SYS,CREATE DATABASE LINK,NO
SYS,DROP ANY PROCEDURE,NO
SYS,ANALYZE ANY,NO
SYS,DROP ANY MATERIALIZED VIEW,NO
SYS,DROP ANY TYPE,NO
SYS,EXECUTE ANY OPERATOR,NO
SYS,DROP ANY INDEXTYPE,NO
SYS,MANAGE ANY QUEUE,YES
SYS,CREATE ANY CONTEXT,NO
SYS,CREATE ANY OUTLINE,NO
SYS,DEBUG CONNECT ANY,NO
SYS,CREATE EVALUATION CONTEXT,YES
SYS,ADVISOR,NO
SYS,CREATE ANY SQL PROFILE,NO
SYS,ALTER ROLLBACK SEGMENT,NO
SYS,DROP ANY TABLE,NO
SYS,CREATE ANY SYNONYM,NO
SYS,DROP ANY SEQUENCE,NO
SYS,SELECT ANY SEQUENCE,NO
SYS,CREATE PUBLIC DATABASE LINK,NO
SYS,CREATE ANY PROCEDURE,NO
SYS,ALTER ANY PROCEDURE,NO
SYS,CREATE TRIGGER,NO
SYS,ALTER ANY TRIGGER,NO
SYS,CREATE ANY MATERIALIZED VIEW,NO
SYS,CREATE ANY TYPE,NO
SYS,ALTER ANY TYPE,NO
SYS,UNDER ANY TYPE,NO
SYS,CREATE LIBRARY,NO
SYS,DROP ANY LIBRARY,NO
SYS,ALTER ANY OPERATOR,NO
SYS,DROP ANY OPERATOR,NO
SYS,ALTER ANY INDEXTYPE,NO
SYS,UNDER ANY TABLE,NO
SYS,ADMINISTER DATABASE TRIGGER,NO
SYS,ALTER ANY RULE SET,YES
SYS,EXECUTE ANY PROGRAM,NO
SYS,MANAGE SCHEDULER,NO
SYS,ALTER ANY CUBE,NO
SYS,CREATE MEASURE FOLDER,NO
SYS,UPDATE ANY CUBE BUILD PROCESS,NO
SYS,USE ANY SQL TRANSLATION PROFILE,NO
SYS,CREATE ATTRIBUTE DIMENSION,NO
SYS,CREATE TABLESPACE,NO
SYS,CREATE TABLE,NO
SYS,CREATE ANY TABLE,NO
SYS,COMMENT ANY TABLE,NO
SYS,CREATE ANY CLUSTER,NO
SYS,ALTER ANY ROLE,NO
SYS,AUDIT ANY,NO
SYS,FORCE ANY TRANSACTION,NO
SYS,EXECUTE ANY PROCEDURE,NO
SYS,ALTER PROFILE,NO
SYS,DROP PROFILE,NO
SYS,ALTER RESOURCE COST,NO
SYS,EXECUTE ANY INDEXTYPE,NO
SYS,ENQUEUE ANY QUEUE,YES
SYS,DROP ANY CONTEXT,NO
SYS,MERGE ANY VIEW,NO
SYS,DEBUG ANY PROCEDURE,NO
SYS,DROP ANY EVALUATION CONTEXT,YES
SYS,CREATE ANY JOB,NO
SYS,EXECUTE ANY CLASS,NO
SYS,CREATE EXTERNAL JOB,NO
SYS,CREATE ANY EDITION,NO
SYS,ALTER ANY ASSEMBLY,NO
SYS,EXECUTE ANY ASSEMBLY,NO
SYS,CREATE ANY MINING MODEL,NO
SYS,CREATE ANY CUBE,NO
SYS,CREATE ANY CUBE BUILD PROCESS,NO
SYS,CREATE ANY SQL TRANSLATION PROFILE,NO
SYS,ALTER ANY MEASURE FOLDER,NO
SYS,CREATE HIERARCHY,NO
SYS,ALTER ANY HIERARCHY,NO
SYS,CREATE INDEXTYPE,NO
SYS,CREATE ANY DIMENSION,NO
SYS,DROP ANY DIMENSION,NO
SYS,ALTER ANY OUTLINE,NO
SYS,RESUMABLE,NO
SYS,CREATE RULE SET,YES
SYS,IMPORT FULL DATABASE,NO
SYS,CREATE JOB,NO
SYS,ADMINISTER ANY SQL TUNING SET,NO
SYS,CHANGE NOTIFICATION,NO
SYS,CREATE CUBE DIMENSION,NO
SYS,DELETE ANY CUBE DIMENSION,NO
SYS,UPDATE ANY CUBE,NO
SYS,DELETE ANY MEASURE FOLDER,NO
SYS,EM EXPRESS CONNECT,NO
SYS,CREATE ANY CREDENTIAL,NO
SYS,DROP ANY ATTRIBUTE DIMENSION,NO
SYS,CREATE ANALYTIC VIEW,NO
SYS,ALTER SESSION,NO
SYS,MANAGE TABLESPACE,NO
SYS,DROP TABLESPACE,NO
SYS,DROP ROLLBACK SEGMENT,NO
SYS,ALTER ANY TABLE,NO
SYS,INSERT ANY TABLE,YES
SYS,CREATE SYNONYM,NO
SYS,CREATE SEQUENCE,NO
SYS,FORCE TRANSACTION,NO
SYS,CREATE PROCEDURE,NO
SYS,CREATE ANY TRIGGER,NO
SYS,ALTER ANY MATERIALIZED VIEW,NO
SYS,CREATE TYPE,NO
SYS,ALTER ANY LIBRARY,NO
SYS,GLOBAL QUERY REWRITE,NO
SYS,GRANT ANY OBJECT PRIVILEGE,NO
SYS,CREATE ANY EVALUATION CONTEXT,YES
SYS,ALTER ANY EVALUATION CONTEXT,YES
SYS,EXPORT FULL DATABASE,NO
SYS,CREATE ANY RULE,YES
SYS,EXECUTE ANY RULE,YES
SYS,MANAGE FILE GROUP,NO
SYS,READ ANY FILE GROUP,NO
SYS,CREATE ASSEMBLY,NO
SYS,CREATE ANY ASSEMBLY,NO
SYS,DROP ANY CUBE DIMENSION,NO
SYS,CREATE CUBE,NO
SYS,SELECT ANY CUBE,NO
SYS,ALTER LOCKDOWN PROFILE,NO
SYS,CREATE CREDENTIAL,NO
SYS,USE ANY JOB RESOURCE,NO
SYS,DROP ANY ANALYTIC VIEW,NO
SYS,ALTER SYSTEM,NO
SYS,AUDIT SYSTEM,NO
SYS,ALTER TABLESPACE,NO
SYS,CREATE USER,NO
SYS,INHERIT ANY PRIVILEGES,NO
SYS,ALTER USER,NO
SYS,DROP ANY CLUSTER,NO
SYS,CREATE PUBLIC SYNONYM,NO
SYS,CREATE VIEW,NO
SYS,DROP ANY VIEW,NO
SYS,CREATE OPERATOR,NO
SYS,ON COMMIT REFRESH,NO
SYS,DEBUG CONNECT SESSION,NO
SYS,CREATE ANY RULE SET,YES
SYS,EXECUTE ANY RULE SET,YES
SYS,CREATE RULE,YES
SYS,ALTER ANY RULE,YES
SYS,DROP ANY SQL PROFILE,NO
SYS,MANAGE ANY FILE GROUP,NO
SYS,DROP ANY ASSEMBLY,NO
SYS,DROP ANY CUBE,NO
SYS,CREATE ANY MEASURE FOLDER,NO
SYS,DROP LOCKDOWN PROFILE,NO
SYS,LOGMINING,NO
SYS,DROP ANY HIERARCHY,NO
SYS,ALTER ANY ANALYTIC VIEW,NO
SYS,UNLIMITED TABLESPACE,NO
SYS,DROP USER,NO
SYS,CREATE CLUSTER,NO
SYS,DROP ANY INDEX,NO
SYS,DROP ANY SYNONYM,NO
SYS,DROP PUBLIC SYNONYM,NO
SYS,CREATE ANY VIEW,NO
SYS,DROP PUBLIC DATABASE LINK,NO
SYS,DROP ANY TRIGGER,NO
SYS,CREATE PROFILE,NO
SYS,EXECUTE ANY TYPE,NO
SYS,CREATE ANY OPERATOR,NO
SYS,CREATE ANY INDEXTYPE,NO
SYS,UNDER ANY VIEW,NO
SYS,FLASHBACK ANY TABLE,NO
SYS,DROP ANY RULE,YES
SYS,SELECT ANY TRANSACTION,NO
SYS,ALTER ANY EDITION,NO
SYS,EXECUTE ASSEMBLY,NO
SYS,SELECT ANY CUBE DIMENSION,NO
SYS,DROP ANY MEASURE FOLDER,NO
SYS,CREATE CUBE BUILD PROCESS,NO
SYS,DROP ANY CUBE BUILD PROCESS,NO
SYS,FLASHBACK ARCHIVE ADMINISTER,NO
SYS,CREATE LOCKDOWN PROFILE,NO
SYS,SELECT ANY CUBE BUILD PROCESS,NO
SYS,DELETE ANY TABLE,YES
SYS,CREATE ANY SEQUENCE,NO
SYS,DROP ANY ROLE,NO
SYS,GRANT ANY ROLE,NO
SYS,ALTER DATABASE,NO
SYS,CREATE MATERIALIZED VIEW,NO
SYS,CREATE ANY DIRECTORY,NO
SYS,DROP ANY DIRECTORY,NO
SYS,CREATE ANY LIBRARY,NO
SYS$UMF,CREATE SESSION,NO
SYSBACKUP,ALTER DATABASE,NO
SYSBACKUP,ALTER SYSTEM,NO
SYSBACKUP,SELECT ANY TRANSACTION,NO
SYSBACKUP,DROP TABLESPACE,NO
SYSBACKUP,UNLIMITED TABLESPACE,NO
SYSBACKUP,SELECT ANY DICTIONARY,NO
SYSBACKUP,RESUMABLE,NO
SYSBACKUP,ALTER TABLESPACE,NO
SYSBACKUP,CREATE ANY CLUSTER,NO
SYSBACKUP,CREATE ANY DIRECTORY,NO
SYSBACKUP,AUDIT ANY,NO
SYSBACKUP,CREATE ANY TABLE,NO
SYSBACKUP,ALTER SESSION,NO
SYSDG,ALTER SESSION,NO
SYSDG,SELECT ANY DICTIONARY,NO
SYSDG,ALTER SYSTEM,NO
SYSDG,ALTER DATABASE,NO
SYSKM,ADMINISTER KEY MANAGEMENT,YES
SYSRAC,ALTER SYSTEM,NO
SYSRAC,ALTER DATABASE,NO
SYSRAC,ALTER SESSION,NO
SYSTEM,CREATE TABLE,NO
SYSTEM,UNLIMITED TABLESPACE,NO
SYSTEM,ENQUEUE ANY QUEUE,YES
SYSTEM,CREATE MATERIALIZED VIEW,NO
SYSTEM,GLOBAL QUERY REWRITE,NO
SYSTEM,MANAGE ANY QUEUE,YES
SYSTEM,SELECT ANY TABLE,NO
SYSTEM,DEQUEUE ANY QUEUE,YES
SYSUMF_ROLE,ADVISOR,NO
SYSUMF_ROLE,ADMINISTER SQL MANAGEMENT OBJECT,NO
WMSYS,CREATE ANY TRIGGER,NO
WMSYS,DROP ANY VIEW,NO
WMSYS,LOCK ANY TABLE,NO
WMSYS,CREATE ANY INDEX,NO
WMSYS,ALTER ANY TABLE,NO
WMSYS,CREATE ANY TABLE,NO
WMSYS,ALTER ANY TRIGGER,NO
WMSYS,ALTER ANY SEQUENCE,NO
WMSYS,CREATE ANY SEQUENCE,NO
WMSYS,CREATE ANY PROCEDURE,NO
WMSYS,CREATE USER,NO
WMSYS,DROP ANY PROCEDURE,NO
WMSYS,UPDATE ANY TABLE,NO
WMSYS,DROP ANY SEQUENCE,NO
WMSYS,DROP ANY INDEX,NO
WMSYS,SELECT ANY TABLE,NO
WMSYS,DROP ANY TRIGGER,NO
WMSYS,DROP USER,NO
WMSYS,INHERIT ANY PRIVILEGES,NO
WMSYS,ALTER SESSION,NO
WMSYS,INSERT ANY TABLE,NO
WMSYS,UNLIMITED TABLESPACE,NO
WMSYS,SELECT ANY DICTIONARY,NO
WMSYS,ALTER ANY INDEX,NO
WMSYS,EXECUTE ANY TYPE,NO
WMSYS,SELECT ANY SEQUENCE,NO
WMSYS,EXECUTE ANY PROCEDURE,NO
WMSYS,DELETE ANY TABLE,NO
WMSYS,DROP ANY TABLE,NO
WMSYS,CREATE ANY VIEW,NO
WMSYS,ADMINISTER DATABASE TRIGGER,NO
XDB,CREATE LIBRARY,NO
XDB,DROP PUBLIC SYNONYM,NO
XDB,CREATE VIEW,NO
XDB,CREATE SESSION,NO
XDB,INHERIT ANY PRIVILEGES,NO
XDB,CREATE JOB,NO
XDB,CREATE PUBLIC SYNONYM,NO
XDB,UNLIMITED TABLESPACE,NO
XDB,ALTER SESSION,NO
XS_CONNECT,CREATE SESSION,NO
