grantee,privilege,admin_option
DBA,SELECT ANY CUBE BUILD PROCESS,NO
DBA,DROP ANY ATTRIBUTE DIMENSION,NO
DBA,CREATE ANALYTIC VIEW,NO
DBA,DROP ANY INDEX,NO
DBA,CREATE DATABASE LINK,NO
DBA,FORCE ANY TRANSACTION,NO
DBA,CREATE ANY TRIGGER,NO
DBA,DROP ANY TRIGGER,NO
DBA,DROP ANY DIRECTORY,NO
DBA,QUERY REWRITE,NO
DBA,CREATE ANY DIMENSION,NO
DBA,MANAGE ANY QUEUE,NO
DBA,DROP ANY OUTLINE,NO
DBA,MERGE ANY VIEW,NO
DBA,DEBUG CONNECT SESSION,NO
DBA,CREATE ANY RULE SET,NO
DBA,EXPORT FULL DATABASE,NO
DBA,CREATE RULE,NO
DBA,EXECUTE ANY CLASS,NO
DBA,MANAGE ANY FILE GROUP,NO
DBA,CREATE ASSEMBLY,NO
DBA,EXECUTE ANY ASSEMBLY,NO
DBA,EXECUTE ASSEMBLY,NO
DBA,SELECT ANY CUBE DIMENSION,NO
DBA,CREATE ANY CUBE,NO
DBA,INSERT ANY MEASURE FOLDER,NO
DBA,CREATE ANY CUBE BUILD PROCESS,NO
DBA,ALTER ANY HIERARCHY,NO
DBA,DROP ANY ANALYTIC VIEW,NO
DBA,CREATE SESSION,NO
DBA,CREATE USER,NO
DBA,CREATE ROLLBACK SEGMENT,NO
DBA,SELECT ANY TABLE,NO
DBA,REDEFINE ANY TABLE,NO
DBA,DROP ANY CLUSTER,NO
DBA,ALTER ANY INDEX,NO
DBA,CREATE SYNONYM,NO
DBA,DROP PUBLIC SYNONYM,NO
DBA,DROP ANY SEQUENCE,NO
DBA,CREATE ROLE,NO
DBA,DROP ANY ROLE,NO
DBA,ALTER RESOURCE COST,NO
DBA,ANALYZE ANY,NO
DBA,CREATE MATERIALIZED VIEW,NO
DBA,DROP ANY MATERIALIZED VIEW,NO
DBA,CREATE OPERATOR,NO
DBA,UNDER ANY TABLE,NO
DBA,ALTER ANY OUTLINE,NO
DBA,ADMINISTER RESOURCE MANAGER,NO
DBA,RESUMABLE,NO
