username,account_status,default_tablespace,profile,granted_role,admin_option
SYS,OPEN,SYSTEM,DEFAULT,SELECT_CATALOG_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,EXECUTE_CATALOG_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,DATAPUMP_EXP_FULL_DATABASE,YES
SYS,OPEN,SYSTEM,DEFAULT,XS_CACHE_ADMIN,YES
SYS,OPEN,SYSTEM,DEFAULT,SYSUMF_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,HS_ADMIN_EXECUTE_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,GDS_CATALOG_SELECT,YES
SYS,OPEN,SYSTEM,DEFAULT,AUTHENTICATEDUSER,YES
SYS,OPEN,SYSTEM,DEFAULT,XDB_WEBSERVICES,YES
SYS,OPEN,SYSTEM,DEFAULT,XDB_WEBSERVICES_WITH_PUBLIC,YES
SYS,OPEN,SYSTEM,DEFAULT,EJBCLIENT,YES
SYS,OPEN,SYSTEM,DEFAULT,JMXSERVER,YES
SYS,OPEN,SYSTEM,DEFAULT,CTXAPP,YES
SYS,OPEN,SYSTEM,DEFAULT,CDB_DBA,YES
SYS,OPEN,SYSTEM,DEFAULT,AQ_USER_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,ADM_PARALLEL_EXECUTE_TASK,YES
SYS,OPEN,SYSTEM,DEFAULT,XS_CONNECT,YES
SYS,OPEN,SYSTEM,DEFAULT,BDSQL_USER,YES
SYS,OPEN,SYSTEM,DEFAULT,NOTIFICATIONS_USER,YES
SYS,OPEN,SYSTEM,DEFAULT,HS_ADMIN_SELECT_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,OEM_MONITOR,YES
SYS$UMF,LOCKED,USERS,DEFAULT,SYSUMF_ROLE,NO
SYSBACKUP,LOCKED,USERS,DEFAULT,SELECT_CATALOG_ROLE,NO
SYSDG,LOCKED,USERS,DEFAULT,,
SYSKM,LOCKED,USERS,DEFAULT,,
SYSRAC,LOCKED,USERS,DEFAULT,AQ_ADMINISTRATOR_ROLE,NO
SYSTEM,OPEN,SYSTEM,DEFAULT,DBA,NO
SYSTEM,OPEN,SYSTEM,DEFAULT,AQ_ADMINISTRATOR_ROLE,YES
WMSYS,LOCKED,SYSAUX,DEFAULT,WM_ADMIN_ROLE,YES
XDB,LOCKED,SYSAUX,DEFAULT,CTXAPP,NO
XDB,LOCKED,SYSAUX,DEFAULT,DBFS_ROLE,NO
XDB,LOCKED,SYSAUX,DEFAULT,RESOURCE,NO
XDB,LOCKED,SYSAUX,DEFAULT,SODA_APP,YES
XS$NULL,EXPIRED & LOCKED,SYSTEM,DEFAULT,,
