grantee,privilege
SYS,FLASHBACK ARCHIVE ADMINISTER
SYS,CREATE LOCKDOWN PROFILE
SYS,SELECT ANY CUBE BUILD PROCESS
IMP_FULL_DATABASE,CREATE ANY CLUSTER
IMP_FULL_DATABASE,CREATE DATABASE LINK
IMP_FULL_DATABASE,UPDATE ANY TABLE
IMP_FULL_DATABASE,CREATE ANY TYPE
IMP_FULL_DATABASE,CREATE ANY LIBRARY
IMP_FULL_DATABASE,DROP ROLLBACK SEGMENT
IMP_FULL_DATABASE,DROP ANY DIRECTORY
IMP_FULL_DATABASE,DROP ANY CONTEXT
IMP_FULL_DATABASE,ALTER ANY TRIGGER
GSMUSER_ROLE,ALTER SYSTEM
DATAPUMP_IMP_FULL_DATABASE,GRANT ANY ROLE
IMP_FULL_DATABASE,AUDIT SYSTEM
IMP_FULL_DATABASE,ALTER DATABASE
RECOVERY_CATALOG_OWNER,CREATE PROCEDURE
EM_EXPRESS_ALL,ADMINISTER SQL MANAGEMENT OBJECT
EM_EXPRESS_ALL,CREATE ROLE
EM_EXPRESS_ALL,DROP USER
AQ_ADMINISTRATOR_ROLE,CREATE RULE SET
IMP_FULL_DATABASE,MANAGE ANY QUEUE
OEM_ADVISOR,ADMINISTER SQL TUNING SET
SYSBACKUP,ALTER DATABASE
SYSBACKUP,ALTER SYSTEM
GSMADMIN_INTERNAL,CREATE PUBLIC DATABASE LINK
GSMADMIN_INTERNAL,CREATE ANY TABLE
GSMADMIN_INTERNAL,DROP TABLESPACE
GSMADMIN_INTERNAL,ALTER TABLESPACE
GSMADMIN_INTERNAL,ALTER SESSION
GSMADMIN_INTERNAL,SET CONTAINER
WMSYS,CREATE ANY INDEX
WMSYS,ALTER ANY TABLE
WMSYS,CREATE ANY TABLE
WMSYS,ALTER ANY TRIGGER
WMSYS,ALTER ANY SEQUENCE
WMSYS,CREATE ANY SEQUENCE
CTXSYS,INHERIT ANY PRIVILEGES
CTXSYS,MANAGE SCHEDULER
CTXAPP,CREATE SEQUENCE
MDSYS,DROP PUBLIC SYNONYM
ORDDATA,UNLIMITED TABLESPACE
OLAP_DBA,UPDATE ANY TABLE
OLAP_DBA,CREATE ANY CUBE DIMENSION
OLAP_DBA,DROP ANY CUBE DIMENSION
OLAP_USER,CREATE VIEW
OLAP_USER,CREATE SEQUENCE
DV_REALM_RESOURCE,CREATE TABLE
DV_REALM_RESOURCE,CREATE VIEW
DV_REALM_OWNER,CREATE ANY CONTEXT
DV_REALM_OWNER,CREATE ANY OUTLINE
DV_REALM_OWNER,CREATE ANY TRIGGER
DV_REALM_OWNER,ALTER ANY TYPE
DV_REALM_OWNER,SELECT ANY SEQUENCE
RESOURCE,CREATE PROCEDURE
DBA,DELETE ANY TABLE
DBA,CREATE CLUSTER
DBA,CREATE ANY INDEX
DBA,CREATE PUBLIC SYNONYM
DBA,CREATE ANY VIEW
DBA,CREATE ANY SEQUENCE
DBA,CREATE PUBLIC DATABASE LINK
DBA,ALTER DATABASE
DBA,CREATE PROFILE
DBA,GRANT ANY PRIVILEGE
DBA,EXECUTE ANY TYPE
DBA,UNDER ANY TYPE
DBA,ALTER ANY LIBRARY
DBA,ALTER ANY OPERATOR
DBA,CREATE DIMENSION
DBA,DROP ANY DIMENSION
DBA,CREATE ANY EVALUATION CONTEXT
DBA,EXECUTE ANY EVALUATION CONTEXT
DBA,ALTER ANY RULE
DBA,ANALYZE ANY DICTIONARY
DBA,MANAGE SCHEDULER
DBA,ADMINISTER SQL TUNING SET
DBA,CREATE CUBE
DBA,DROP ANY CUBE
DBA,DROP ANY SQL TRANSLATION PROFILE
DBA,USE ANY JOB RESOURCE
DBA,CREATE HIERARCHY
DBA,CREATE ANY ANALYTIC VIEW
DBA,ALTER ANY ANALYTIC VIEW
SYS,DELETE ANY TABLE
SYS,CREATE ANY SEQUENCE
SYS,DROP ANY ROLE
SYS,GRANT ANY ROLE
SYS,ALTER DATABASE
SYS,CREATE MATERIALIZED VIEW
SYS,CREATE ANY DIRECTORY
SYS,DROP ANY DIRECTORY
SYS,CREATE ANY LIBRARY
SYS,CREATE INDEXTYPE
SYS,CREATE ANY DIMENSION
SYS,DROP ANY DIMENSION
SYS,ALTER ANY OUTLINE
SYS,RESUMABLE
SYS,CREATE RULE SET
SYS,IMPORT FULL DATABASE
SYS,CREATE JOB
SYS,ADMINISTER ANY SQL TUNING SET
SYS,CHANGE NOTIFICATION
SYS,CREATE CUBE DIMENSION
SYS,DELETE ANY CUBE DIMENSION
SYS,UPDATE ANY CUBE
SYS,DELETE ANY MEASURE FOLDER
SYS,EM EXPRESS CONNECT
SYS,CREATE ANY CREDENTIAL
SYS,DROP ANY ATTRIBUTE DIMENSION
SYS,CREATE ANALYTIC VIEW
SYSTEM,SELECT ANY TABLE
EXP_FULL_DATABASE,EXECUTE ANY TYPE
EXP_FULL_DATABASE,SELECT ANY SEQUENCE
IMP_FULL_DATABASE,COMMENT ANY TABLE
IMP_FULL_DATABASE,ALTER ANY TABLE
IMP_FULL_DATABASE,DROP ANY SEQUENCE
IMP_FULL_DATABASE,DROP PROFILE
IMP_FULL_DATABASE,ALTER ANY TYPE
DATAPUMP_IMP_FULL_DATABASE,SELECT ANY TABLE
DATAPUMP_IMP_FULL_DATABASE,DELETE ANY TABLE
DATAPUMP_IMP_FULL_DATABASE,AUDIT ANY
IMP_FULL_DATABASE,ALTER RESOURCE COST
RECOVERY_CATALOG_OWNER,CREATE SESSION
RECOVERY_CATALOG_OWNER,CREATE TABLE
RECOVERY_CATALOG_OWNER,CREATE SYNONYM
RECOVERY_CATALOG_OWNER,CREATE SEQUENCE
RECOVERY_CATALOG_OWNER_VPD,DROP ANY CONTEXT
EM_EXPRESS_ALL,DROP TABLESPACE
EM_EXPRESS_ALL,GRANT ANY PRIVILEGE
EM_EXPRESS_ALL,ALTER ANY ROLE
EM_EXPRESS_ALL,ALTER PROFILE
AUDSYS,ANALYZE ANY DICTIONARY
IMP_FULL_DATABASE,ADMINISTER RESOURCE MANAGER
SCHEDULER_ADMIN,EXECUTE ANY PROGRAM
AQ_ADMINISTRATOR_ROLE,MANAGE ANY QUEUE
OEM_MONITOR,SELECT ANY DICTIONARY
DBSNMP,UNLIMITED TABLESPACE
APPQOSSYS,ADMINISTER RESOURCE MANAGER
SYSBACKUP,RESUMABLE
SYSBACKUP,SELECT ANY DICTIONARY
SYSDG,ALTER SESSION
SYSDG,ALTER SYSTEM
GSMADMIN_INTERNAL,ALTER ANY INDEX
GSMADMIN_INTERNAL,LOCK ANY TABLE
WMSYS,CREATE ANY PROCEDURE
WMSYS,CREATE USER
CTXSYS,UNLIMITED TABLESPACE
LBACSYS,ADMINISTER DATABASE TRIGGER
OLAP_DBA,INSERT ANY CUBE DIMENSION
OLAP_DBA,DELETE ANY CUBE DIMENSION
OLAP_DBA,DROP ANY CUBE
OLAP_DBA,INSERT ANY MEASURE FOLDER
DV_REALM_RESOURCE,CREATE INDEXTYPE
DV_REALM_OWNER,CREATE ANY INDEX
DV_REALM_OWNER,CREATE ANY PROCEDURE
DV_REALM_OWNER,ALTER ANY SEQUENCE
DV_REALM_OWNER,ALTER ANY TRIGGER
DV_REALM_OWNER,EXECUTE ANY INDEXTYPE
DV_REALM_OWNER,EXECUTE ANY PROCEDURE
DV_ACCTMGR,ALTER USER
DV_ACCTMGR,CREATE PROFILE
CONNECT,CREATE SESSION
RESOURCE,CREATE CLUSTER
DBA,DROP TABLESPACE
DBA,DROP ROLLBACK SEGMENT
DBA,CREATE TABLE
DBA,BACKUP ANY TABLE
DBA,COMMENT ANY TABLE
DBA,ALTER ANY CLUSTER
DBA,DROP ANY INDEX
DBA,CREATE DATABASE LINK
DBA,FORCE ANY TRANSACTION
DBA,CREATE ANY TRIGGER
DBA,DROP ANY TRIGGER
DBA,DROP ANY DIRECTORY
DBA,QUERY REWRITE
DBA,CREATE ANY DIMENSION
DBA,MANAGE ANY QUEUE
DBA,DROP ANY OUTLINE
DBA,MERGE ANY VIEW
DBA,DEBUG CONNECT SESSION
DBA,CREATE ANY RULE SET
DBA,EXPORT FULL DATABASE
DBA,CREATE RULE
DBA,EXECUTE ANY CLASS
DBA,MANAGE ANY FILE GROUP
DBA,CREATE ASSEMBLY
DBA,EXECUTE ANY ASSEMBLY
DBA,EXECUTE ASSEMBLY
DBA,SELECT ANY CUBE DIMENSION
DBA,CREATE ANY CUBE
DBA,INSERT ANY MEASURE FOLDER
DBA,CREATE ANY CUBE BUILD PROCESS
DBA,ALTER ANY HIERARCHY
DBA,DROP ANY ANALYTIC VIEW
SYS,ALTER SESSION
SYS,MANAGE TABLESPACE
SYS,DROP TABLESPACE
SYS,DROP ROLLBACK SEGMENT
SYS,ALTER ANY TABLE
SYS,INSERT ANY TABLE
SYS,CREATE SYNONYM
SYS,CREATE SEQUENCE
SYS,FORCE TRANSACTION
SYS,CREATE PROCEDURE
SYS,CREATE ANY TRIGGER
SYS,ALTER ANY MATERIALIZED VIEW
SYS,CREATE TYPE
SYS,ALTER ANY LIBRARY
SYS,GLOBAL QUERY REWRITE
SYS,GRANT ANY OBJECT PRIVILEGE
SYS,CREATE ANY EVALUATION CONTEXT
SYS,ALTER ANY EVALUATION CONTEXT
SYS,EXPORT FULL DATABASE
SYS,CREATE ANY RULE
SYS,EXECUTE ANY RULE
SYS,MANAGE FILE GROUP
SYS,READ ANY FILE GROUP
SYS,CREATE ASSEMBLY
SYS,CREATE ANY ASSEMBLY
SYS,DROP ANY CUBE DIMENSION
SYS,CREATE CUBE
SYS,SELECT ANY CUBE
SYS,ALTER LOCKDOWN PROFILE
SYS,CREATE CREDENTIAL
SYS,USE ANY JOB RESOURCE
SYS,DROP ANY ANALYTIC VIEW
CONNECT,SET CONTAINER
EXP_FULL_DATABASE,SELECT ANY TABLE
EXP_FULL_DATABASE,EXECUTE ANY PROCEDURE
EXP_FULL_DATABASE,ADMINISTER SQL MANAGEMENT OBJECT
IMP_FULL_DATABASE,CREATE ANY TRIGGER
IMP_FULL_DATABASE,CREATE PROFILE
IMP_FULL_DATABASE,CREATE USER
IMP_FULL_DATABASE,CREATE ANY DIRECTORY
IMP_FULL_DATABASE,CREATE ANY OPERATOR
IMP_FULL_DATABASE,GLOBAL QUERY REWRITE
IMP_FULL_DATABASE,DROP ANY INDEX
IMP_FULL_DATABASE,DROP ANY VIEW
IMP_FULL_DATABASE,DROP ANY LIBRARY
IMP_FULL_DATABASE,DROP ANY OPERATOR
IMP_FULL_DATABASE,RESUMABLE
GSMUSER_ROLE,CREATE SESSION
DATAPUMP_IMP_FULL_DATABASE,ALTER USER
DATAPUMP_IMP_FULL_DATABASE,ALTER DATABASE
DATAPUMP_IMP_FULL_DATABASE,ALTER PROFILE
DATAPUMP_IMP_FULL_DATABASE,GRANT ANY OBJECT PRIVILEGE
EXP_FULL_DATABASE,CREATE SESSION
EXP_FULL_DATABASE,CREATE TABLE
EXP_FULL_DATABASE,ANALYZE ANY
IMP_FULL_DATABASE,DELETE ANY TABLE
IMP_FULL_DATABASE,GRANT ANY OBJECT PRIVILEGE
RECOVERY_CATALOG_OWNER,CREATE TRIGGER
RECOVERY_CATALOG_OWNER_VPD,CREATE ANY SYNONYM
EM_EXPRESS_ALL,GRANT ANY OBJECT PRIVILEGE
EM_EXPRESS_ALL,GRANT ANY ROLE
EM_EXPRESS_ALL,CREATE USER
EM_EXPRESS_ALL,SET CONTAINER
