grantee,privilege
AQ_ADMINISTRATOR_ROLE,DEQUEUE ANY QUEUE
OEM_ADVISOR,ADVISOR
OEM_ADVISOR,CREATE JOB
OEM_MONITOR,ANALYZE ANY DICTIONARY
APPQOSSYS,ALTER SESSION
SYSBACKUP,ALTER TABLESPACE
SYSBACKUP,AUDIT ANY
SYSBACKUP,CREATE ANY DIRECTORY
SYSRAC,ALTER SYSTEM
GSMADMIN_INTERNAL,CREATE SESSION
GSMADMIN_INTERNAL,CREATE DATABASE LINK
GSMADMIN_INTERNAL,DROP PUBLIC DATABASE LINK
GSMADMIN_INTERNAL,CREATE ANY JOB
GSMUSER_ROLE,EXEMPT ACCESS POLICY
ANONYMOUS,CREATE SESSION
XDB,CREATE SESSION
XDB,CREATE PUBLIC SYNONYM
WMSYS,ALTER SESSION
WMSYS,INSERT ANY TABLE
WMSYS,UNLIMITED TABLESPACE
OJVMSYS,UNLIMITED TABLESPACE
JAVADEBUGPRIV,DEBUG ANY PROCEDURE
CTXSYS,SET CONTAINER
CTXSYS,CREATE PUBLIC SYNONYM
CTXSYS,DROP PUBLIC SYNONYM
XDB,CREATE JOB
DVF,CREATE PROCEDURE
ORDSYS,UNLIMITED TABLESPACE
OLAP_DBA,UPDATE ANY CUBE DIMENSION
OLAP_DBA,DELETE ANY MEASURE FOLDER
OLAP_DBA,DROP ANY MEASURE FOLDER
OLAP_DBA,UPDATE ANY CUBE BUILD PROCESS
DVSYS,CREATE ROLE
DV_REALM_RESOURCE,CREATE TYPE
DV_REALM_OWNER,CREATE ANY SYNONYM
DV_REALM_OWNER,ALTER ANY CLUSTER
DV_REALM_OWNER,ALTER ANY INDEX
DV_REALM_OWNER,ALTER ANY MATERIALIZED VIEW
DV_REALM_OWNER,ALTER ANY TABLE
DV_REALM_OWNER,DROP ANY CLUSTER
DV_REALM_OWNER,DROP ANY DIMENSION
DV_REALM_OWNER,DROP ANY INDEX
DV_REALM_OWNER,DROP ANY VIEW
DV_ACCTMGR,DROP USER
DV_ACCTMGR,CREATE SESSION
DBA,AUDIT SYSTEM
DBA,ALTER ANY TABLE
DBA,ALTER ANY SEQUENCE
DBA,DROP PUBLIC DATABASE LINK
DBA,AUDIT ANY
DBA,ALTER ANY TYPE
DBA,DROP ANY TYPE
DBA,EXECUTE ANY LIBRARY
DBA,CREATE ANY OPERATOR
DBA,DROP ANY OPERATOR
DBA,CREATE ANY INDEXTYPE
DBA,DROP ANY INDEXTYPE
DBA,EXECUTE ANY INDEXTYPE
DBA,IMPORT FULL DATABASE
DBA,EXECUTE ANY RULE
DBA,CREATE JOB
DBA,DROP ANY SQL PROFILE
DBA,ALTER ANY SQL PROFILE
DBA,CREATE ANY SQL PROFILE
DBA,CHANGE NOTIFICATION
DBA,DROP ANY EDITION
DBA,CREATE ANY ASSEMBLY
DBA,COMMENT ANY MINING MODEL
DBA,DROP ANY MEASURE FOLDER
DBA,READ ANY TABLE
SYSTEM,UNLIMITED TABLESPACE
SYSTEM,ENQUEUE ANY QUEUE
SYS,BACKUP ANY TABLE
SYS,LOCK ANY TABLE
SYS,REDEFINE ANY TABLE
SYS,ALTER ANY CLUSTER
SYS,ALTER ANY SEQUENCE
SYS,CREATE ROLE
SYS,GRANT ANY PRIVILEGE
SYS,EXECUTE ANY LIBRARY
SYS,QUERY REWRITE
SYS,CREATE DIMENSION
SYS,ALTER ANY DIMENSION
SYS,DEQUEUE ANY QUEUE
SYS,DROP ANY OUTLINE
SYS,ADMINISTER RESOURCE MANAGER
SYS,EXECUTE ANY EVALUATION CONTEXT
SYS,DROP ANY RULE SET
SYS,ALTER ANY SQL PROFILE
SYS,ADMINISTER SQL TUNING SET
SYS,DROP ANY EDITION
SYS,DROP ANY MINING MODEL
SYS,ALTER ANY MINING MODEL
SYS,ALTER ANY CUBE DIMENSION
SYS,CREATE ANY CUBE DIMENSION
SYS,INSERT ANY MEASURE FOLDER
SYS,UPDATE ANY CUBE DIMENSION
SYS,ALTER ANY SQL TRANSLATION PROFILE
SYS,DROP ANY SQL TRANSLATION PROFILE
SYS,SELECT ANY MEASURE FOLDER
SYS,READ ANY TABLE
SYS,CREATE ANY ATTRIBUTE DIMENSION
SYS,CREATE ANY ANALYTIC VIEW
SYSTEM,CREATE MATERIALIZED VIEW
AUDIT_ADMIN,AUDIT SYSTEM
IMP_FULL_DATABASE,CREATE PUBLIC DATABASE LINK
IMP_FULL_DATABASE,CREATE ANY CONTEXT
IMP_FULL_DATABASE,CREATE ANY INDEXTYPE
IMP_FULL_DATABASE,DROP ANY TABLE
IMP_FULL_DATABASE,DROP ANY MATERIALIZED VIEW
IMP_FULL_DATABASE,DROP ANY TYPE
IMP_FULL_DATABASE,ANALYZE ANY
IMP_FULL_DATABASE,DROP ANY SQL PROFILE
DATAPUMP_IMP_FULL_DATABASE,ALTER RESOURCE COST
EXP_FULL_DATABASE,EXEMPT REDACTION POLICY
IMP_FULL_DATABASE,GRANT ANY PRIVILEGE
IMP_FULL_DATABASE,EXECUTE ANY OPERATOR
XS_CONNECT,CREATE SESSION
DBSFWUSER,CREATE SESSION
ORACLE_OCM,CREATE JOB
RECOVERY_CATALOG_OWNER,ALTER SESSION
RECOVERY_CATALOG_OWNER,CREATE DATABASE LINK
RECOVERY_CATALOG_OWNER,CREATE TYPE
EM_EXPRESS_BASIC,EM EXPRESS CONNECT
EM_EXPRESS_ALL,ADMINISTER SQL TUNING SET
EM_EXPRESS_ALL,ADMINISTER ANY SQL TUNING SET
SYSUMF_ROLE,ADMINISTER SQL MANAGEMENT OBJECT
SCHEDULER_ADMIN,EXECUTE ANY CLASS
OEM_MONITOR,ADVISOR
DBSNMP,CREATE PROCEDURE
SYSBACKUP,CREATE ANY CLUSTER
SYSRAC,ALTER DATABASE
XDB,UNLIMITED TABLESPACE
XDB,ALTER SESSION
WMSYS,SELECT ANY DICTIONARY
WMSYS,ALTER ANY INDEX
WMSYS,EXECUTE ANY TYPE
WMSYS,SELECT ANY SEQUENCE
MDSYS,CREATE TRIGGER
OLAP_DBA,DELETE ANY TABLE
OLAP_DBA,SELECT ANY CUBE DIMENSION
OLAP_DBA,UPDATE ANY CUBE
OLAP_DBA,CREATE SEQUENCE
OLAP_USER,CREATE CUBE DIMENSION
DV_REALM_RESOURCE,CREATE CLUSTER
DV_REALM_OWNER,CREATE ANY VIEW
DV_REALM_OWNER,DROP ANY MATERIALIZED VIEW
DV_REALM_OWNER,DROP ANY OPERATOR
DV_REALM_OWNER,DROP ANY SYNONYM
DV_REALM_OWNER,DROP ANY TABLE
DV_REALM_OWNER,DROP ANY TRIGGER
DV_REALM_OWNER,EXECUTE ANY OPERATOR
DBA,MANAGE TABLESPACE
DBA,CREATE ANY TABLE
DBA,CREATE SEQUENCE
DBA,GRANT ANY ROLE
DBA,ALTER ANY ROLE
DBA,CREATE ANY PROCEDURE
DBA,ALTER ANY PROCEDURE
DBA,DROP ANY PROCEDURE
DBA,EXECUTE ANY PROCEDURE
DBA,CREATE ANY DIRECTORY
DBA,CREATE ANY TYPE
DBA,CREATE ANY LIBRARY
DBA,DROP ANY LIBRARY
DBA,ALTER ANY INDEXTYPE
DBA,ENQUEUE ANY QUEUE
DBA,DEQUEUE ANY QUEUE
DBA,ADVISOR
DBA,DROP ANY ASSEMBLY
DBA,ALTER ANY CUBE DIMENSION
DBA,CREATE ANY CUBE DIMENSION
DBA,ALTER ANY CUBE
DBA,DROP ANY CUBE BUILD PROCESS
DBA,UPDATE ANY CUBE DIMENSION
DBA,USE ANY SQL TRANSLATION PROFILE
DBA,SET CONTAINER
SYSTEM,MANAGE ANY QUEUE
SYS,CREATE SESSION
SYS,RESTRICTED SESSION
SYS,BECOME USER
SYS,CREATE ROLLBACK SEGMENT
SYS,SELECT ANY TABLE
SYS,UPDATE ANY TABLE
SYS,CREATE ANY INDEX
SYS,ALTER ANY INDEX
SYS,CREATE DATABASE LINK
SYS,DROP ANY PROCEDURE
SYS,ANALYZE ANY
SYS,DROP ANY MATERIALIZED VIEW
SYS,DROP ANY TYPE
SYS,EXECUTE ANY OPERATOR
SYS,DROP ANY INDEXTYPE
SYS,MANAGE ANY QUEUE
SYS,CREATE ANY CONTEXT
SYS,CREATE ANY OUTLINE
SYS,DEBUG CONNECT ANY
SYS,CREATE EVALUATION CONTEXT
SYS,ADVISOR
SYS,CREATE ANY SQL PROFILE
SYS,CREATE MINING MODEL
SYS,SELECT ANY MINING MODEL
SYS,COMMENT ANY MINING MODEL
SYS,INSERT ANY CUBE DIMENSION
SYS,ADMINISTER SQL MANAGEMENT OBJECT
SYS,CREATE SQL TRANSLATION PROFILE
SYS,CREATE PLUGGABLE DATABASE
SYS,SET CONTAINER
SYS,ALTER ANY CUBE BUILD PROCESS
SYS,ALTER ANY ATTRIBUTE DIMENSION
SYS,CREATE ANY HIERARCHY
EXP_FULL_DATABASE,BACKUP ANY TABLE
IMP_FULL_DATABASE,CREATE ANY INDEX
IMP_FULL_DATABASE,CREATE ANY MATERIALIZED VIEW
IMP_FULL_DATABASE,AUDIT ANY
IMP_FULL_DATABASE,CREATE ANY DIMENSION
IMP_FULL_DATABASE,DROP ANY OUTLINE
IMP_FULL_DATABASE,DROP ANY TRIGGER
IMP_FULL_DATABASE,DROP PUBLIC DATABASE LINK
IMP_FULL_DATABASE,DROP ANY ROLE
IMP_FULL_DATABASE,DROP ANY DIMENSION
DATAPUMP_EXP_FULL_DATABASE,CREATE TABLE
EXP_FULL_DATABASE,FLASHBACK ANY TABLE
ORACLE_OCM,SET CONTAINER
EM_EXPRESS_ALL,ALTER TABLESPACE
AUDSYS,ALTER SESSION
AUDSYS,SELECT ANY DICTIONARY
AUDSYS,RESTRICTED SESSION
SYSUMF_ROLE,ADVISOR
SYS$UMF,CREATE SESSION
SCHEDULER_ADMIN,CREATE EXTERNAL JOB
SCHEDULER_ADMIN,CREATE ANY CREDENTIAL
OEM_MONITOR,CREATE SESSION
OEM_MONITOR,MANAGE ANY QUEUE
SYSBACKUP,ALTER SESSION
SYSBACKUP,CREATE ANY TABLE
SYSDG,ALTER DATABASE
SYSRAC,ALTER SESSION
GSMADMIN_INTERNAL,INHERIT ANY PRIVILEGES
GSMADMIN_INTERNAL,ALTER DATABASE
GSMADMIN_INTERNAL,CREATE JOB
XDB,INHERIT ANY PRIVILEGES
WMSYS,EXECUTE ANY PROCEDURE
WMSYS,DELETE ANY TABLE
WMSYS,DROP ANY TABLE
WMSYS,CREATE ANY VIEW
WMSYS,DROP ANY VIEW
CTXSYS,CREATE SESSION
CTXSYS,ALTER SESSION
CTXSYS,CREATE VIEW
MDSYS,CREATE TABLE
MDSYS,CREATE ANY SEQUENCE
MDSYS,ADMINISTER DATABASE TRIGGER
DVSYS,CREATE ANY CONTEXT
DVSYS,DROP ANY CONTEXT
OLAP_DBA,CREATE ANY TABLE
OLAP_DBA,INSERT ANY TABLE
OLAP_DBA,CREATE ANY CUBE
OLAP_DBA,CREATE ANY VIEW
OLAP_USER,CREATE MEASURE FOLDER
DV_REALM_OWNER,CREATE ANY INDEXTYPE
DV_REALM_OWNER,CREATE ANY TYPE
DV_REALM_OWNER,ALTER ANY INDEXTYPE
DV_REALM_OWNER,DROP ANY INDEXTYPE
DV_REALM_OWNER,DROP ANY OUTLINE
DV_REALM_OWNER,DROP ANY SEQUENCE
DV_REALM_OWNER,SELECT ANY TABLE
DV_REALM_OWNER,UPDATE ANY TABLE
DV_REALM_OWNER,EXECUTE ANY TYPE
